,Epochs,Validation Accuracy,Setting
590,21,0.5874000191688538,cifar_50000
591,22,0.593500018119812,cifar_50000
592,23,0.5856999754905701,cifar_50000
593,24,0.5785999894142151,cifar_50000
594,25,0.5982999801635742,cifar_50000
595,26,0.566100001335144,cifar_50000
596,27,0.592199981212616,cifar_50000
597,28,0.5814999938011169,cifar_50000
598,29,0.5629000067710876,cifar_50000
599,30,0.585099995136261,cifar_50000
