,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
222,13,0.699999988079071,5 Recombinations,0.8999999761581421
223,14,0.6000000238418579,5 Recombinations,0.8833333253860474
224,15,0.5333333611488342,5 Recombinations,0.8833333253860474
225,16,0.6000000238418579,5 Recombinations,0.8833333253860474
226,17,0.46666666865348816,5 Recombinations,0.800000011920929
227,18,0.6666666865348816,5 Recombinations,0.8333333134651184
228,19,0.46666666865348816,5 Recombinations,0.949999988079071
229,20,0.5666666626930237,5 Recombinations,0.8833333253860474
230,21,0.46666666865348816,5 Recombinations,0.8500000238418579
231,22,0.6666666865348816,5 Recombinations,0.9666666388511658
232,23,0.5666666626930237,5 Recombinations,0.8999999761581421
233,24,0.6000000238418579,5 Recombinations,0.9666666388511658
234,25,0.5,5 Recombinations,0.8833333253860474
235,26,0.5666666626930237,5 Recombinations,0.7666666507720947
236,27,0.5666666626930237,5 Recombinations,0.8333333134651184
237,28,0.46666666865348816,5 Recombinations,0.8500000238418579
238,29,0.5,5 Recombinations,0.8333333134651184
239,30,0.6000000238418579,5 Recombinations,0.9166666865348816
240,1,0.20000000298023224,5 Recombinations,0.46666666865348816
241,2,0.4000000059604645,5 Recombinations,0.7666666507720947
242,3,0.4000000059604645,5 Recombinations,0.7666666507720947
243,4,0.4333333373069763,5 Recombinations,0.8500000238418579
244,5,0.4000000059604645,5 Recombinations,0.699999988079071
245,6,0.4000000059604645,5 Recombinations,0.800000011920929
246,7,0.36666667461395264,5 Recombinations,0.6666666865348816
247,8,0.3333333432674408,5 Recombinations,0.6333333253860474
248,9,0.36666667461395264,5 Recombinations,0.800000011920929
249,10,0.4000000059604645,5 Recombinations,0.8333333134651184
250,11,0.4000000059604645,5 Recombinations,0.699999988079071
251,12,0.3333333432674408,5 Recombinations,0.6833333373069763
252,13,0.36666667461395264,5 Recombinations,0.7333333492279053
253,14,0.3333333432674408,5 Recombinations,0.7833333611488342
